"type","n","avg_k_enc_total","avg_k_enc","avg_k_dec"
"ecies_sig",10,154.2254718,15.42254718,10.6237458
"ecies_sig",50,781.320497,15.62640994,10.78336104
"ecies_sig",100,1567.51750930186,15.6751750930186,10.8263492458492
"ecies_sig",200,3148.5216972,15.742608486,10.888594778
"ecies_sig",500,7968.1843682,15.9363687364,11.0772033924
"hpke",10,270.0945932,27.00945932,26.11454564
"hpke",50,1359.9171514,27.198343028,26.317171
"hpke",100,2721.8074404881,27.218074404881,26.33728035007
"hpke",200,5444.3459864,27.221729932,26.342031428
"hpke",500,13609.8282072,27.2196564144,26.3421036304
"hybrid_signcryption",10,47.45635,4.745635,5.12423936
"hybrid_signcryption",50,239.4757736,4.789515472,5.174662796
"hybrid_signcryption",100,479.452281256251,4.79452281256251,5.1800225285057
"hybrid_signcryption",200,959.3992756,4.796996378,5.180436303
"hybrid_signcryption",500,2398.7885678,4.7975771356,5.1812898892
"imessage",10,131.3781484,13.13781484,11.84355672
"imessage",50,660.8352092,13.216704184,11.97716878
"imessage",100,1325.00323324665,13.2500323324665,12.0180811822364
"imessage",200,2662.059563,13.310297815,12.078115449
"imessage",500,6747.3165736,13.4946331472,12.2633938856
