"type","msg_len","avg_cipher_len"
"ecies_sig",10240,10423.9989809962
"ecies_sig",102400,102583.9982326
"ecies_sig",1048576,1048759.9961964
"ecies_sig",10485760,10485943.997138
"ecies_sig",52428800,52428983.9952912
"hpke",10240,10353
"hpke",102400,102513
"hpke",1048576,1048689
"hpke",10485760,10485873
"hpke",52428800,52428913
"hybrid_signcryption",10240,10335.9960896179
"hybrid_signcryption",102400,102495.9960128
"hybrid_signcryption",1048576,1048671.996253
"hybrid_signcryption",10485760,10485855.9958142
"hybrid_signcryption",52428800,52428895.9959784
"imessage",10240,10486.9955763153
"imessage",102400,102646.9949776
"imessage",1048576,1048822.9971258
"imessage",10485760,10486006.9972574
"imessage",52428800,52429046.9963002
