type,msg_len,enc_elapsed_time_sd,dec_elapsed_time_sd,all_len,iv_len,ciphertext_len,tag_len,sig_len,c2_len,e_len
ecies_signature,102400,0.015955,0.010798,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027620,0.026335,102481,0,102400,16,0,0,65
imessage,102400,0.014593,0.012113,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005265,0.005207,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015915,0.010833,102553,16,102400,0,72,0,65
hpke_auth,102400,0.026882,0.025951,102481,0,102400,16,0,0,65
imessage,102400,0.014364,0.012363,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005074,0.005317,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015936,0.010861,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027222,0.026270,102481,0,102400,16,0,0,65
imessage,102400,0.014405,0.012284,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005150,0.005224,102464,16,102400,16,32,0,0
ecies_signature,102400,0.019414,0.013826,102553,16,102400,0,72,0,65
hpke_auth,102400,0.028657,0.026012,102481,0,102400,16,0,0,65
imessage,102400,0.014490,0.012309,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005079,0.005348,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015862,0.010744,102551,16,102400,0,70,0,65
hpke_auth,102400,0.026892,0.026133,102481,0,102400,16,0,0,65
imessage,102400,0.014451,0.012318,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005023,0.005378,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015842,0.010800,102551,16,102400,0,70,0,65
hpke_auth,102400,0.027255,0.026992,102481,0,102400,16,0,0,65
imessage,102400,0.014341,0.012249,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005060,0.005324,102464,16,102400,16,32,0,0
ecies_signature,102400,0.018601,0.010870,102551,16,102400,0,70,0,65
hpke_auth,102400,0.027191,0.026185,102481,0,102400,16,0,0,65
imessage,102400,0.014363,0.012346,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005248,0.005213,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015948,0.011343,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026748,0.026247,102481,0,102400,16,0,0,65
imessage,102400,0.014383,0.012286,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005164,0.005320,102464,16,102400,16,32,0,0
ecies_signature,102400,0.016341,0.011055,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026990,0.026191,102481,0,102400,16,0,0,65
imessage,102400,0.014417,0.012486,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005121,0.005329,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015794,0.010998,102553,16,102400,0,72,0,65
hpke_auth,102400,0.026913,0.025981,102481,0,102400,16,0,0,65
imessage,102400,0.014349,0.012340,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005181,0.005325,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015966,0.010696,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026642,0.026125,102481,0,102400,16,0,0,65
imessage,102400,0.014300,0.012455,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005225,0.005222,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015876,0.010849,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027077,0.026123,102481,0,102400,16,0,0,65
imessage,102400,0.014369,0.012157,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005274,0.005345,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015820,0.011094,102553,16,102400,0,72,0,65
hpke_auth,102400,0.026855,0.025642,102481,0,102400,16,0,0,65
imessage,102400,0.014410,0.012123,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005175,0.005460,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015792,0.010855,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026719,0.026403,102481,0,102400,16,0,0,65
imessage,102400,0.014325,0.012311,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005089,0.005319,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015729,0.010766,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026963,0.026355,102481,0,102400,16,0,0,65
imessage,102400,0.014415,0.012188,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005143,0.005231,102464,16,102400,16,32,0,0
ecies_signature,102400,0.016333,0.010895,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026997,0.026336,102481,0,102400,16,0,0,65
imessage,102400,0.014341,0.012230,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005081,0.005307,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015862,0.010760,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027725,0.026070,102481,0,102400,16,0,0,65
imessage,102400,0.014554,0.012067,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005220,0.005212,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015800,0.010783,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027174,0.026309,102481,0,102400,16,0,0,65
imessage,102400,0.014268,0.012248,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005058,0.005315,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015759,0.010847,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027007,0.025944,102481,0,102400,16,0,0,65
imessage,102400,0.014345,0.012204,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005018,0.005345,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015725,0.011101,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027046,0.026055,102481,0,102400,16,0,0,65
imessage,102400,0.014286,0.012345,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005127,0.005322,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015751,0.010812,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026744,0.026011,102481,0,102400,16,0,0,65
imessage,102400,0.014289,0.012181,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005019,0.005363,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015852,0.010804,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027103,0.025972,102481,0,102400,16,0,0,65
imessage,102400,0.014303,0.012244,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005062,0.005331,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015737,0.010758,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026795,0.026070,102481,0,102400,16,0,0,65
imessage,102400,0.014317,0.012229,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005214,0.005191,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015969,0.010821,102552,16,102400,0,71,0,65
