type,msg_len,enc_elapsed_time_sd,dec_elapsed_time_sd,all_len,iv_len,ciphertext_len,tag_len,sig_len,c2_len,e_len
ecies_signature,52428800,0.246049,0.238878,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.165910,0.171750,52428881,0,52428800,16,0,0,65
imessage,52428800,0.334187,0.333776,52429014,16,52428800,0,70,128,0
hybrid_signcryption,52428800,0.146716,0.150507,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.246619,0.241639,52428951,16,52428800,0,70,0,65
hpke_auth,52428800,0.166700,0.172625,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333875,0.333371,52429014,16,52428800,0,70,128,0
hybrid_signcryption,52428800,0.143048,0.154665,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.250797,0.240518,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.166172,0.171359,52428881,0,52428800,16,0,0,65
imessage,52428800,0.332285,0.332422,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.143072,0.150577,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.246164,0.242500,52428951,16,52428800,0,70,0,65
hpke_auth,52428800,0.169218,0.172335,52428881,0,52428800,16,0,0,65
imessage,52428800,0.331031,0.335976,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.148504,0.150640,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.247373,0.243535,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.169697,0.172981,52428881,0,52428800,16,0,0,65
imessage,52428800,0.334934,0.333113,52429014,16,52428800,0,70,128,0
hybrid_signcryption,52428800,0.147701,0.152307,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.249886,0.239311,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.166043,0.171882,52428881,0,52428800,16,0,0,65
imessage,52428800,0.335546,0.333113,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.144053,0.150830,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.243411,0.242260,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.175053,0.172349,52428881,0,52428800,16,0,0,65
imessage,52428800,0.331673,0.333399,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.152800,0.151147,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.247846,0.245402,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.171419,0.173012,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333674,0.335657,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.148739,0.152035,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.247282,0.245109,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.168906,0.171989,52428881,0,52428800,16,0,0,65
imessage,52428800,0.335079,0.331887,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.145699,0.151103,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.244378,0.242369,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.165806,0.172462,52428881,0,52428800,16,0,0,65
imessage,52428800,0.335588,0.333450,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.143683,0.151647,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.249668,0.241624,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.165884,0.172147,52428881,0,52428800,16,0,0,65
imessage,52428800,0.334044,0.334159,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.143816,0.151879,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.248602,0.246766,52428951,16,52428800,0,70,0,65
hpke_auth,52428800,0.165810,0.173653,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333801,0.332569,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.142820,0.151554,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.247196,0.245549,52428951,16,52428800,0,70,0,65
hpke_auth,52428800,0.166929,0.172011,52428881,0,52428800,16,0,0,65
imessage,52428800,0.334095,0.334804,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.144281,0.151474,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.250700,0.241622,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.166840,0.172684,52428881,0,52428800,16,0,0,65
imessage,52428800,0.334564,0.334909,52429014,16,52428800,0,70,128,0
hybrid_signcryption,52428800,0.143851,0.151463,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.246900,0.239158,52428952,16,52428800,0,71,0,65
